time,stormy,blue_sky,cloudy
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0047658466252766644,0.012971412357672359,0.007071664139750851
5,0.04289276738745737,0.0963426724139959,0.06926968351095972
6,0.1414530755334089,0.23246760691433663,0.16420266038735212
7,0.1338044857163475,0.2918307077792039,0.16633333751706425
8,0.0756597777548863,0.1993255612887679,0.11890984358679876
9,0.03990643231381894,0.08312276315553288,0.0555872896445477
10,0.0013609746921562614,0.003904688365198341,0.0018424241323110042
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.031235465301576483,0.0766522130923387,0.05606662522641779
29,0.11252851937994067,0.292183634699408,0.15130214688506177
30,0.16933429542916822,0.4862303843870124,0.33692924933933305
31,0.29738887320768786,0.5078204017010156,0.30012528304851455
32,0.19198035684758954,0.48815281206932043,0.2102244107730705
33,0.09067264863401431,0.2596668580427402,0.1335222802356193
34,0.019796652701150844,0.0336100417631493,0.023948388365390597
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.016427696398837354,0.04745142913959562,0.0250836938601103
53,0.05836143340394502,0.13277999657106584,0.07696449273610531
54,0.10313009183468078,0.20766673523102291,0.14418530299054416
55,0.1577720511684909,0.32799884925391715,0.1739904813580706
56,0.12607170904635406,0.36617142338834147,0.170239063515953
57,0.09663022505746498,0.2613237591089007,0.11099862844825159
58,0.01865942200991248,0.04309502978021819,0.031712892973659305
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.013226322377419246,0.029934641560507846,0.018499066472491294
77,0.06675409562338466,0.18379908842307582,0.1137244276012905
78,0.12220225863685205,0.30495613112513403,0.19447617453104735
79,0.057537433731122946,0.2288347663647942,0.13308844083429694
80,0.044457051443111135,0.10652255407783116,0.06780319838595136
81,0.019285605257442284,0.03834126118720749,0.02638272511409021
82,0.0019433682134224546,0.004026055481634585,0.0014183575033288177
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.010036961922258841,0.03418200940298782,0.021610207880303458
101,0.04945703051413412,0.13103205485788189,0.09735242821228522
102,0.07591375338061365,0.1694675654001902,0.11493714776848368
103,0.06884265278476545,0.16703590519650494,0.10139963447830018
104,0.051774242885173696,0.1315664856717032,0.07691877378835699
105,0.02431822885566542,0.0546094297562398,0.03572563120874615
106,0.004131711540726318,0.006944509200980069,0.004572598539523641
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.000558685709380027,0.0009843554622994968,0.0007543806653888118
125,0.0050333189380669845,0.008140119840530724,0.004270266939717947
126,0.005212302777330105,0.016875494630241458,0.008301552456436857
127,0.007093923632635565,0.018580912885440084,0.008555304700203265
128,0.006119581638105169,0.016485581982148223,0.009647714747525737
129,0.0031475670421186605,0.008700277563983963,0.0046608670732607785
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0071785240353019674,0.01504901640033157,0.008610191889340786
149,0.03390070190869239,0.0719000885950068,0.035360315649853834
150,0.05460512564359712,0.1324347058923954,0.06242333469728788
151,0.031544044436032155,0.061727523929672984,0.044645428814129036
152,0.010799938196053772,0.03141194066078538,0.015136329150013353
153,0.003139352218296602,0.007610691680131798,0.005166045673913789
154,0.0,0.0,0.0
155,0.0,0.0,0.0
